word,n_morph
айс-ревю,1
айсберг,1
айсинг,1
айсор,1
айсорка,2
айсорский,2
академгородок,3
академизм,2
академик,2
академический,2
академичный,2
академия,1
акажу,0
акант,1
акантовый,2
аканье,3
акарология,4
акать,2
акафист,1
акафистный,2
акациевый,2
акация,1
акающий,3
аквадаг,1
акваланг,1
аквалангист,2
аквамарин,1
аквамаринный,2
аквамариновый,2
акваметрия,3
акванавт,2
акваплан,2
акваполисоединение,5
акварелист,2
акварелистка,3
акварель,1
акварельный,2
аквариум,1
аквариумист,2
аквариумный,2
аквасоединение,4
акватория,1
аквафорте,1
аквафортист,3
акведук,1
акклиматизационный,5
акклиматизация,4
акклиматизирование,6
акклиматизированный,5
акклиматизировать,5
акклиматизироваться,6
аккомодантный,2
аккомодационный,3
аккомодация,2
аккомодировать,3
аккомодироваться,4
аккомпанемент,1
аккомпаниатор,1
аккомпанирование,4
аккомпанировать,3
аккомпанировка,4
аккорд,1
аккордеон,1
аккордеонист,2
аккордеонистка,3
аккордный,2
аккордовый,2
аккредитация,2
аккредитив,1
аккредитование,3
аккредитованный,3
аккредитовать,2
аккредитоваться,3
аккузатив,1
аккумулирование,4
аккумулировать,3
аккумулироваться,4
аккумулятивный,3
аккумулятор,2
аккумуляторно-зарядный,5
аккумуляторный,3
аккумуляционный,3
аккумуляция,2
аккуратист,2
аккуратненький,2
аккуратность,2
аккуратный,1
акмеизм,2
акмеист,2
акмеистический,3
акмеистка,3
акмеистский,3
акр,1
акридин,1
акридиновый,2
акробат,1
акробатизм,2
акробатика,2
акробатический,2
акробатичный,2
акробатка,2
акробатничание,3
акробатничать,2
акробатство,2
акробатствовать,3
акрополь,1
акростих,2
аксакал,1
аксамит,1
акселерат,2
акселератка,3
акселератор,2
акселерация,2
акселерограф,3
акселерометр,3
аксельбант,1
аксессуар,1
аксиома,1
аксиоматика,3
аксиоматический,3
аксиоматичный,2
аксиометр,2
аксон,1
аксонометрический,4
аксонометрия,4
акт,1
актер,1
актеришка,2
актерка,2
актерский,2
актерство,2
актерствовать,3
актив,1
активатор,2
активационный,3
активация,2
активизация,3
активизирование,4
активизированный,5
активизировать,4
активизироваться,5
активирование,4
активированный,4
активировать,3
активироваться,4
активист,2
активистка,3
активистский,3
активничать,3
активно-емкостный,7
активно-индуктивный,5
активность,3
активный,2
актин,1
актинидия,1
актиниевый,2
актиний,2
актиния,1
актинобациллез,4
актинограф,3
актиноид,2
актинометр,3
актинометрический,4
актинометрия,4
актиномикоз,4
актиномицет,4
актиномицин,4
актинотерапия,4
актирование,4
актированный,4
актировать,3
актироваться,4
актовый,2
актриса,2
актуализация,3
актуализирование,5
актуализированный,5
актуализировать,4
актуализироваться,5
актуализованный,4
актуализовать,3
актуализоваться,4
актуальность,2
актуальный,1
акула,1
акулий,2
акуловые,2
акупунктура,1
акустика,2
акустико-пневматический,6
акустический,3
акут,1
акутированный,4
акутовый,2
акушер,2
акушерка,3
акушерский,3
акушерство,3
акушерствовать,4
акцент,1
акцентатор,2
акцентирование,4
акцентированный,4
акцентировать,3
акцентироваться,4
акцентировка,4
акцентный,2
акцентовать,2
акцентоваться,3
акцентолог,3
акцентологический,4
акцентология,4
акцентуационный,4
акцентуация,3
акцепт,1
акцептант,2
акцептатор,2
акцептация,2
акцептный,2
акцептование,3
акцептованный,3
акцептовать,2
акцептоваться,3
акцептор,2
акцепция,2
акцессионный,2
акцессия,1
акцессорный,3
акцидентный,2
акциденция,2
акциз,1
акцизный,2
акционер,3
акционерка,4
акционерный,4
акционерский,4
акционный,2
акция,1
акын,1
алатауский,3
алатырь,1
албанец,2
албанка,2
албанский,2
алгебра,1
алгебраист,3
алгебраический,3
алгоритм,1
алгоритмизация,3
алгоритмизировать,4
алгоритмический,2
алебарда,1
алебардный,2
алебардовый,2
алебастр,1
алебастровый,2
алеврит,2
алевритовый,3
алевролит,3
алейкемический,4
алейкемия,4
алейрон,1
алейроновый,2
александрит,2
алексин,1
аленький,2
алеть,2
алеться,3
алеут,1
алеутка,2
алеутский,2
алжирец,2
алжирка,2
алжирский,2
али,0
алиби,0
алиготе,0
алидада,1
ализарин,1
ализариновый,2
алиментарный,2
алиментный,2
алиментщик,2
алиментщица,2
алименты,1
алитирование,4
алитировать,3
алитироваться,4
алкализация,3
алкалиметрия,4
алкалоз,2
алкалоид,2
алкание,3
алкать,2
алкаш,2
алкил,1
алкилирование,4
алкоголизация,3
алкоголизировать,4
алкоголизироваться,5
алкоголизм,2
алкоголизовать,3
алкоголизоваться,4
алкоголик,2
алкоголический,2
алкоголичка,3
алкоголь,1
алкогольный,2
алкоран,1
аллах,1
аллегоризм,2
аллегорический,2
аллегоричность,3
аллегоричный,2
аллегория,1
аллегретто,1
аллегри,0
аллегро,0
аллейка,2
аллелизм,2
аллеломорф,3
аллеломорфизм,4
аллель,1
аллергический,2
аллергия,1
аллерголог,3
аллергологический,4
аллергология,4
аллея,1
аллигатор,1
аллилуйный,2
аллилуйщик,2
аллилуйщина,2
аллилуйя,1
аллитерационный,3
аллитерация,2
аллитерирование,4
алло,0
алломорф,2
алломорфа,2
алломорфный,3
аллонж,1
аллопат,1
аллопатический,2
аллопатия,2
аллопластика,3
аллопластический,4
аллювиальный,2
аллювий,1
аллюзия,1
аллюр,1
алма-атинский,4
алмаатинец,4
алмаз,1
алмазно-расточный,6
алмазно-твердый,4
алмазный,2
алмазодобывающий,5
алмазозаменитель,6
ало-кирпичный,4
ало-красный,3
алогизм,3
алогический,3
алогичный,3
алойный,2
алоэ,0
алоэвидный,3
алтаец,2
алтайка,2
алтайский,2
алтарный,2
алтарь,1
алтей,1
алтейный,2
алтын,1
алтынник,2
алтынница,2
алтынничать,3
алтынный,2
алудур,1
алунит,1
алфавит,1
алфавитно-цифровой,5
алфавитный,2
алхимик,3
алхимический,3
алхимия,2
алчба,2
алчность,3
алчный,2
алчущий,2
алый,1
алыча,1
алычовый,2
аль,0
альбатрос,1
альбедо,0
альбедометр,3
альбинизм,2
альбинос,1
альбиноска,2
альбит,1
альбом,1
альбом-буклет,2
альбумин,1
альбуминный,2
альбуминовый,2
альбуминоид,2
альбуминурия,3
альвеола,1
альвеолярный,2
алькальд,1
альма-матер,1
альманах,1
альманашный,2
альпака,0
альпари,0
альпеншток,3
альпийский,3
альпинарий,3
альпиниада,3
альпинизм,3
альпинист,3
альпинистка,4
альпинистский,4
альсекко,0
альт,1
альтазимут,2
альтеративный,3
альтерация,2
альтерированный,4
альтернат,2
альтернатива,3
альтернатор,2
альтернационный,3
альтернация,2
альтернирующий,4
альтиметр,3
альтист,2
альтистка,3
альтовый,2
альтруизм,2
альтруист,2
альтруистический,3
альтруистичный,3
альтруистка,3
альфа,1
альфа-железо,2
альфа-лучи,2
альфа-радиоактивный,6
альфа-радиометр,5
альфа-распад,3
альфа-спектр,2
альфа-спектрометр,4
альфа-спектроскопия,5
альфа-стабилизатор,4
альфа-терапия,3
альфа-частица,3
альфаметр,2
альфатрон,2
альфонс,1
альфреско,0
альянс,1
алюминат,2
алюминиево-калиевый,6
алюминиево-магниевый,6
алюминиевый,3
алюминий,2
алюминийорганический,5
алюминон,2
алюминотермия,4
алюмоаммонийный,5
алюмокалиевый,5
алюмомедь,3
алюмосиликат,3
алюмосиликатный,4
аляповатый,1
аляскит,2
аляфуршет,0
амазонит,2
амазонка,2
амазонский,2
амальгама,1
амальгаматор,2
амальгамационный,3
амальгамация,2
амальгамировальный,4
амальгамирование,4
амальгамированный,4
амальгамировать,3
амальгамироваться,4
амальгамический,2
амальгамный,2
аманат,1
аманатский,2
амарант,1
амариллис,1
аматер,1
аматерка,2
амба,0
амбар,1
амбаришко,2
амбарище,2
амбарный,2
амбарушка,2
амбициозный,2
амбиционный,2
амбиция,1
амбра,1
амбразура,1
амбре,0
амбровый,2
амброзия,1
амбулатория,1
амбулаторно-поликлинический,5
амбулаторный,2
амбушюр,1
амвон,1
амеба,1
амебиаз,2
амебный,2
амебовидный,4
амебоноситель,5
амебообразный,4
амебоцит,3
американец,3
американизация,4
американизированный,6
американизировать,5
американизироваться,6
американизм,3
американист,3
американистика,4
американка,3
американо-английский,5
американо-китайский,5
американо-советский,5
американоидный,4
американский,3
америций,2
аметист,1
аметистовый,2
амиант,1
амиантовый,2
амид,1
амидирование,4
амидол,2
амидопирин,3
амикошонский,2
амикошонство,2
амикошонствовать,3
амилацетат,3
амилнитрит,3
амиловый,2
амилоза,2
амилоид,2
амилоидоз,3
амилопектин,4
амин,1
аминогруппа,3
аминокислота,5
аминокислотный,6
аминопласт,3
аминосоединение,5
аминоспирт,3
аминь,0
амистад,1
амми,0
аммиак,1
аммиакат,2
аммиачнокислый,5
аммиачный,2
аммонал,2
аммониак,3
аммониевый,3
аммонизация,3
аммонизированный,5
аммонизировать,5
аммоний,2
аммонийный,3
аммонийфосфат,3
аммонит,2
аммонификация,3
аммонолиз,3
аммотол,3
аммофила,3
аммофос,3
амнистирование,4
амнистированный,4
амнистироваться,4
амнистия,1
аморализм,3
аморальный,3
амортизатор,3
амортизационный,4
амортизация,3
амортизированный,5
амортизировать,4
амортизироваться,5
амортификация,3
аморфизм,3
аморфный,3
ампелография,4
ампелология,3
ампелотерапия,4
ампельный,2
ампер,1
ампер-весы,2
ампер-виток,4
ампер-секунда,2
ампер-час,2
ампервольтваттметр,4
ампервольтметр,3
ампервольтомметр,4
амперметр,2
амперный,2
амперометрический,4
амперометрия,4
ампир,1
ампирный,2
амплитуда,1
амплитудно-импульсный,4
амплитудно-частотный,5
амплитудный,2
амплификация,3
амплуа,0
ампула,1
ампутационный,3
ампутация,2
ампутированный,4
ампутировать,3
ампутироваться,4
амударьинский,4
амулет,1
амуниционный,2
амуниция,1
амуничный,2
амур,1
амуриться,3
амурничать,2
амурный,2
амфибийный,3
амфибия,2
амфибол,2
амфиболит,3
амфиболия,3
амфибрахий,2
амфибрахический,3
амфипод,2
амфитеатр,2
амфора,1
амхара,0
амхарский,2
ан,0
анабиоз,2
анабиотический,3
анаболизм,2
анаболия,2
анагалактический,3
анаграмма,2
анаграмматический,4
анаграммный,3
анаконда,1
анакреонтика,2
анакреонтический,3
анализ,1
анализатор,2
анализаторский,3
анализирование,4
анализированный,4
анализировать,3
анализироваться,4
аналитик,2
аналитика,2
аналитико-синтетический,6
аналитический,2
аналог,1
аналогизирование,5
аналогизировать,4
аналогический,2
аналогичный,2
аналогия,1
аналого-цифровой,4
аналоговый,2
аналой,1
аналойный,2
анальгетик,3
анальгетический,4
анальгин,2
анальгия,1
анамнез,1
анамнестический,2
анаморфизм,3
анаморфирование,5
анаморфический,3
анаморфоз,3
анаморфотный,4
ананас,1
ананасный,2
ананасовый,2
анапест,1
анапестический,2
анархизм,2
анархист,2
анархиствующий,5
анархистка,3
анархистский,3
анархический,2
анархичный,2
анархия,1
анархо-синдикализм,4
анархо-синдикалист,4
анархо-синдикалистский,5
анархо-терроризм,4
анатом,1
анатомирование,4
анатомированный,4
анатомировать,3
анатомироваться,4
анатомический,2
анатомичка,2
анатомия,1
анатомо-клинический,4
анатомо-физиологический,6
анафема,1
анафематствовать,4
анафемский,2
анафилаксия,1
анафилактический,2
анафора,1
анафорический,2
анахорет,1
анахоретский,2
анахронизм,3
анахронический,3
анахроничный,3
анаша,1
анашист,2
ангажемент,2
ангажирование,4
ангажированный,4
ангажировать,3
ангажироваться,4
ангажировка,4
ангар,1
ангармонический,3
ангарный,2
ангел,1
ангелочек,3
ангельский,2
ангидрид,3
ангидридный,4
ангидридовый,4
ангидрит,3
ангидритовый,4
ангина,1
ангинный,2
ангинозный,2
ангиограмма,3
ангиография,4
ангиология,4
ангиома,2
ангионевроз,4
ангиоспазм,3
англизированный,5
англизировать,4
англизироваться,5
английский,2
англиканец,3
англиканский,3
англицизм,2
англичанин,2
англичанка,3
англо-американский,5
англо-бурский,4
англо-египетский,4
англо-русский,4
англо-советский,4
англо-советско-иранский,7
англоман,3
англомания,4
англоманка,4
англоманский,4
англосакский,4
англосаксонский,5
англосаксонцы,5
англосаксы,3
англофил,3
англофильский,4
англофоб,3
англофобский,4
ангорский,2
ангстрем,1
андалузит,2
анданте,1
андантино,1
андезин,2
андезит,2
андиец,2
андийка,2
андийский,2
андо-дидойский,4
андо-цезский,4
андроген,3
андрогенез,4
андрогиния,4
андрофобия,4
аневризм,3
аневризма,3
аневрин,3
анекдот,1
анекдотец,2
анекдотический,2
анекдотичный,2
анекдотчик,2
анемический,2
анемичный,2
анемия,1
анемограф,3
анемоклинограф,5
анемометр,3
анемометрия,4
анемон,2
анемона,2
анемоскоп,3
анемофилия,4
анемохория,4
анероид,2
анестезин,2
анестезиолог,3
анестезиологический,4
анестезиология,4
анестезированный,4
анестезировать,3
анестезироваться,4
анестезирующий,4
анестезия,2
анестетик,2
анестетический,2
анилин,1
анилиновый,2
анилинокрасочный,5
анилокраситель,5
анимализация,3
анимализм,2
анималист,2
анималистический,3
анимальный,1
анимизм,2
анимист,2
анимистический,3
анис,1
анисовка,3
анисовый,2
анкер,1
анкерит,2
анкерный,2
анкерок,2
анкета,1
анкетирование,4
анкетировать,3
анкетный,2
анклав,1
анналист,2
анналы,1
аннексионизм,2
аннексионист,3
аннексионистский,4
аннексионный,2
аннексирование,4
аннексированный,4
аннексировать,3
аннексироваться,4
аннексия,1
аннигилировать,4
аннигиляция,3
аннона,1
анноновые,2
аннотация,2
аннотирование,4
аннотированный,4
аннотировать,3
аннотироваться,4
аннулирование,4
аннулированный,4
аннулировать,3
аннулироваться,4
аннуляция,2
анод,1
анодирование,4
анодно-импульсный,5
анодно-механический,6
анодно-химический,5
анодный,2
аномалия,1
аномальный,2
аноним,2
анонимка,3
анонимный,3
анонимщик,3
анонс,1
анонсированный,4
анонсировать,3
анонсироваться,4
анормальный,3
ансамблевый,2
ансамбль,1
антагонизм,2
антагонист,2
антагонистический,3
антагонистичный,3
антагонистка,3
антарктический,3
антенна,1
антенно-фидерный,5
антеннщик,2
антенный,2
антиалкогольный,3
антиамериканизм,4
антиамериканский,4
антибактериальный,3
